ticker,etf
TPL,AVEDX
LHX,AVEDX
FANG,AVEDX
GOTXX,AVEDX
CVX,AVEDX
TXN,AVEDX
TJX,AVEDX
MCO,AVEDX
FAST,AVEDX
LOW,AVEDX
CSL,AVEDX
CCEP.AS,AVEDX
GPC,AVEDX
TFC,AVEDX
MA,AVEDX
LMT,AVEDX
HEI-A,AVEDX
SPGI,AVEDX
BRO,AVEDX
BR,AVEDX
ZTS,AVEDX
AOS,AVEDX
ROP,AVEDX
ACN,AVEDX
FNF,AVEDX
POOL,AVEDX
DPZ,AVEDX
DGX,AVEDX
BKNG,AVEDX
ESAB,AVEDX
SN,AVEDX
BN.TO,AVEDX
ATR,AVEDX
ACGL,AVEDX
RMBS,AVEDX
FOUR,AVEDX
TPL,AVEMX
WPM.TO,AVEMX
GOTXX,AVEMX
LB,AVEMX
FNV.TO,AVEMX
HIFS,AVEMX
WBI,AVEMX
SNX,AVEMX
PBT,AVEMX
VRSN,AVEMX
EXE,AVEMX
JOE,AVEMX
ROP,AVEMX
AWI,AVEMX
XPEL,AVEMX
MIR,AVEMX
ALC.SW,AVEMX
ICE,AVEMX
BRO,AVEMX
WINA,AVEMX
ALLE,AVEMX
SLB,AVEMX
AOS,AVEMX
BLDR,AVEMX
HEI-A,AVEMX
DSGR,AVEMX
POOL,AVEMX
CSW,AVEMX
WSO,AVEMX
YETI,AVEMX
JKHY,AVEMX
CHE,AVEMX
UTIXX,AVEUX
MIDD,AVEUX
BLDR,AVEUX
IPAR,AVEUX
RLI,AVEUX
SARO,AVEUX
MSA,AVEUX
CLMB,AVEUX
STVN,AVEUX
LQDT,AVEUX
HIFS,AVEUX
ALH,AVEUX
CBNA,AVEUX
DSG.TO,AVEUX
ESAB,AVEUX
KAI,AVEUX
IGIC,AVEUX
AGYS,AVEUX
HNGE,AVEUX
CSW,AVEUX
EXPO,AVEUX
EPAC,AVEUX
LB,AVEUX
USLM,AVEUX
LOGC,AVEUX
FWRG,AVEUX
WOR,AVEUX
ICUI,AVEUX
PRMB,AVEUX
SXT,AVEUX
MEDP,AVEUX
WBI,AVEUX
DORM,AVEUX
DSGR,AVEUX
XPEL,AVEUX
SFM,AVEUX
OSW,AVEUX
FSV.TO,AVEUX
LMAT,AVEUX
EXP,AVEUX
ATR,AVEUX
BVS,AVEUX
MIR,AVEUX
WINA,AVEUX
HGTY,AVEUX
DLB,AVEUX
KARO,AVEUX
CIGI.TO,AVEUX
KNF,AVEUX
RDVT,AVEUX
YETI,AVEUX
LMB,AVEUX
AXGN,AVEUX
HWKN,AVEUX
TOIXX,AVEUX
GOTXX,AVEUX
MKTX,AVEUX
AOS,AVEUX
LMRI,AVEUX
NEOG,AVEUX
AMNF,AVEUX
POOL,AVEUX
FIX,AVEWX
0LCV.IL,AVEWX
ETN,AVEWX
SN,AVEWX
HPS-A.TO,AVEWX
MA,AVEWX
GFL.TO,AVEWX
ASML.AS,AVEWX
SAP.DE,AVEWX
KARO,AVEWX
SBS,AVEWX
STNE,AVEWX
NU,AVEWX
VIST,AVEWX
INPST.AS,AVEWX
ALSEA.MX,AVEWX
TEL,AVEWX
SPGI,AVEWX
SRC.L,AVEWX
DLO,AVEWX
MAD.AX,AVEWX
HWM,AVEWX
PR,AVEWX
7974.T,AVEWX
HDFCBANK.NS,AVEWX
FG,AVEWX
MIR,AVEWX
HNGE,AVEWX
APR.WA,AVEWX
TEA.AX,AVEWX
3FY.F,AVEWX
FSV,AVEWX
NORBT.OL,AVEWX
SES.TO,AVEWX
STVN,AVEWX
4063.T,AVEWX
6036.T,AVEWX
WBI,AVEWX
GOTXX,AVEWX
EDEN.PA,AVEWX
ALC.SW,AVEWX
FANG,AVEWX
3836.T,AVEWX
4733.T,AVEWX
ALFA.L,AVEWX
GRG.L,AVEWX
MIPS.ST,AVEWX
CNQ.TO,AVEWX
PHR,AVEWX
EDR.MC,AVEWX
APG,AVEAX
WBI,AVEAX
LB,AVEAX
SES.TO,AVEAX
TPL,AVEAX
SRC.L,AVEAX
GFL.TO,AVEAX
APO,AVEAX
EDR.MC,AVEAX
BN.TO,AVEAX
BNT,AVEAX
BAM.TO,AVEAX
TIC,AVEAX
CHE,AVEAX
USLM,AVEAX
GOTXX,AVEAX
TPL,AVERX
WBI,AVERX
LB,AVERX
GOTXX,AVERX
FNV.TO,AVERX
WPM.TO,AVERX
EXE,AVERX
ICE,AVERX
CVX,AVERX
SLB,AVERX
WSO,AVERX
BLDR,AVERX
ZTS,AVERX
OXY,AVERX
INTC,AVERX
VRSN,AVERX
ATR,AVERX
PBT,AVERX
XPEL,AVERX
ACN,AVERX
JOE,AVERX
FOUR,AVERX
PAAS.TO,AVERX
MCO,AVERX
AOS,AVERX
MIR,AVERX
ROP,AVERX
MAS,AVERX
GPC,AVERX
CHE,AVERX
CAT,BIBL
KLAC,BIBL
ANET,BIBL
APH,BIBL
WELL,BIBL
IBKR,BIBL
PLD,BIBL
VRT,BIBL
PGR,BIBL
PH,BIBL
FTNT,BIBL
FCX,BIBL
CTAS,BIBL
CIEN,BIBL
MPWR,BIBL
SLB,BIBL
KMI,BIBL
SPG,BIBL
DLR,BIBL
