ticker,name,sector,industry,cik,index_member,sic_code,sic_desc
MMM,3M,Industrials,Industrial Conglomerates,66740,SP500,3841,Surgical & Medical Instruments & Apparatus
AOS,A. O. Smith,Industrials,Building Products,91142,SP500,3630,Household Appliances
ABT,Abbott Laboratories,Health Care,Health Care Equipment,1800,SP500,2834,Pharmaceutical Preparations
ABBV,AbbVie,Health Care,Biotechnology,1551152,SP500,2834,Pharmaceutical Preparations
ACN,Accenture,Information Technology,IT Consulting & Other Services,1467373,SP500,7389,"Services-Business Services, NEC"
ADBE,Adobe Inc.,Information Technology,Application Software,796343,SP500,7372,Services-Prepackaged Software
AMD,Advanced Micro Devices,Information Technology,Semiconductors,2488,SP500,3674,Semiconductors & Related Devices
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,874761,SP500,4991,Cogeneration Services & Small Power Producers
AFL,Aflac,Financials,Life & Health Insurance,4977,SP500,6321,Accident & Health Insurance
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,1090872,SP500,3826,Laboratory Analytical Instruments
APD,Air Products,Materials,Industrial Gases,2969,SP500,2810,Industrial Inorganic Chemicals
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1559720,SP500,7340,Services-To Dwellings & Other Buildings
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,1086222,SP500,7389,"Services-Business Services, NEC"
ALB,Albemarle Corporation,Materials,Specialty Chemicals,915913,SP500,2821,"Plastic Materials, Synth Resins & Nonvulcan Elastomers"
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,1035443,SP500,6798,Real Estate Investment Trusts
ALGN,Align Technology,Health Care,Health Care Supplies,1097149,SP500,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies"
ALLE,Allegion,Industrials,Building Products,1579241,SP500,7381,"Services-Detective, Guard & Armored Car Services"
LNT,Alliant Energy,Utilities,Electric Utilities,352541,SP500,4931,Electric & Other Services Combined
ALL,Allstate,Financials,Property & Casualty Insurance,899051,SP500,6331,"Fire, Marine & Casualty Insurance"
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,1652044,SP500,7370,"Services-Computer Programming, Data Processing, Etc."
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,1652044,SP500,7370,"Services-Computer Programming, Data Processing, Etc."
MO,Altria,Consumer Staples,Tobacco,764180,SP500,2111,Cigarettes
AMZN,Amazon,Consumer Discretionary,Broadline Retail,1018724,SP500,5961,Retail-Catalog & Mail-Order Houses
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,1748790,SP500,3990,Miscellaneous Manufacturing Industries
AEE,Ameren,Utilities,Multi-Utilities,1002910,SP500,4931,Electric & Other Services Combined
AEP,American Electric Power,Utilities,Electric Utilities,4904,SP500,4911,Electric Services
AXP,American Express,Financials,Consumer Finance,4962,SP500,6199,Finance Services
AIG,American International Group,Financials,Multi-line Insurance,5272,SP500,6331,"Fire, Marine & Casualty Insurance"
AMT,American Tower,Real Estate,Telecom Tower REITs,1053507,SP500,6798,Real Estate Investment Trusts
AWK,American Water Works,Utilities,Water Utilities,1410636,SP500,4941,Water Supply
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,820027,SP500,6282,Investment Advice
AME,Ametek,Industrials,Electrical Components & Equipment,1037868,SP500,3823,"Industrial Instruments For Measurement, Display, and Control"
AMGN,Amgen,Health Care,Biotechnology,318154,SP500,2836,"Biological Products, (No Diagnostic Substances)"
APH,Amphenol,Information Technology,Electronic Components,820313,SP500,3678,Electronic Connectors
ADI,Analog Devices,Information Technology,Semiconductors,6281,SP500,3674,Semiconductors & Related Devices
AON,Aon plc,Financials,Insurance Brokers,315293,SP500,6411,"Insurance Agents, Brokers & Service"
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,1841666,SP500,1311,Crude Petroleum & Natural Gas
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,1858681,SP500,6282,Investment Advice
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",320193,SP500,3571,Electronic Computers
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,6951,SP500,3674,Semiconductors & Related Devices
APP,AppLovin,Information Technology,Application Software,1751008,SP500,7370,"Services-Computer Programming, Data Processing, Etc."
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,1521332,SP500,3714,Motor Vehicle Parts & Accessories
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,947484,SP500,6331,"Fire, Marine & Casualty Insurance"
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,7084,SP500,2070,Fats & Oils
ARES,Ares Management,Financials,Asset Management & Custody Banks,1176948,SP500,6282,Investment Advice
ANET,Arista Networks,Information Technology,Communications Equipment,1596532,SP500,3576,Computer Communications Equipment
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,354190,SP500,6411,"Insurance Agents, Brokers & Service"
AIZ,Assurant,Financials,Multi-line Insurance,1267238,SP500,6399,"Insurance Carriers, NEC"
T,AT&T,Communication Services,Integrated Telecommunication Services,732717,SP500,4813,Telephone Communications (No Radiotelephone)
ATO,Atmos Energy,Utilities,Gas Utilities,731802,SP500,4924,Natural Gas Distribution
ADSK,Autodesk,Information Technology,Application Software,769397,SP500,7372,Services-Prepackaged Software
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,8670,SP500,7374,Services-Computer Processing & Data Preparation
AZO,AutoZone,Consumer Discretionary,Automotive Retail,866787,SP500,5531,Retail-Auto & Home Supply Stores
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,915912,SP500,6798,Real Estate Investment Trusts
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,8818,SP500,2670,Converted Paper & Paperboard Prods (No Contaners/Boxes)
